,Date,Close,Gross_Profit,ROE
1491,2016-10-28,28.43,17813,0.36
1492,2016-10-31,28.385,17813,0.36
1493,2016-11-01,27.872499,17813,0.36
1494,2016-11-02,27.897499,17813,0.36
1495,2016-11-03,27.4575,17813,0.36
1496,2016-11-04,27.209999,17813,0.36
1497,2016-11-07,27.602501,17813,0.36
1498,2016-11-08,27.764999,17813,0.36
1499,2016-11-09,27.719999,17813,0.36
1500,2016-11-10,26.9475,17813,0.36
1501,2016-11-11,27.1075,17813,0.36
1502,2016-11-14,26.4275,17813,0.36
1503,2016-11-15,26.7775,17813,0.36
1504,2016-11-16,27.497499,17813,0.36
1505,2016-11-17,27.487499,17813,0.36
1506,2016-11-18,27.514999,17813,0.36
1507,2016-11-21,27.932501,17813,0.36
1508,2016-11-22,27.950001,17813,0.36
1509,2016-11-23,27.807501,17813,0.36
1510,2016-11-25,27.9475,17813,0.36
1511,2016-11-28,27.8925,17813,0.36
1512,2016-11-29,27.865,17813,0.36
1513,2016-11-30,27.629999,17813,0.36
1514,2016-12-01,27.372499,17813,0.36
1515,2016-12-02,27.475,17813,0.36
1516,2016-12-05,27.2775,17813,0.36
1517,2016-12-06,27.487499,17813,0.36
1518,2016-12-07,27.7575,17813,0.36
1519,2016-12-08,28.030001,17813,0.36
1520,2016-12-09,28.487499,17813,0.36
1521,2016-12-12,28.325001,17813,0.36
1522,2016-12-13,28.797501,17813,0.36
1523,2016-12-14,28.797501,17813,0.36
1524,2016-12-15,28.955,17813,0.36
1525,2016-12-16,28.9925,17813,0.36
1526,2016-12-19,29.16,17813,0.36
1527,2016-12-20,29.237499,17813,0.36
1528,2016-12-21,29.264999,17813,0.36
1529,2016-12-22,29.0725,17813,0.36
1530,2016-12-23,29.129999,17813,0.36
1531,2016-12-27,29.315001,17813,0.36
1532,2016-12-28,29.190001,17813,0.36
1533,2016-12-29,29.182501,17813,0.36
1534,2016-12-30,28.955,17813,0.36
1535,2017-01-03,29.0375,30176,0.35
1536,2017-01-04,29.004999,30176,0.35
1537,2017-01-05,29.1525,30176,0.35
1538,2017-01-06,29.477501,30176,0.35
1539,2017-01-09,29.747499,30176,0.35
1540,2017-01-10,29.7775,30176,0.35
1541,2017-01-11,29.9375,30176,0.35
1542,2017-01-12,29.8125,30176,0.35
1543,2017-01-13,29.76,30176,0.35
1544,2017-01-17,30.0,30176,0.35
1545,2017-01-18,29.997499,30176,0.35
1546,2017-01-19,29.945,30176,0.35
1547,2017-01-20,30.0,30176,0.35
1548,2017-01-23,30.02,30176,0.35
1549,2017-01-24,29.9925,30176,0.35
1550,2017-01-25,30.469999,30176,0.35
1551,2017-01-26,30.485001,30176,0.35
1552,2017-01-27,30.487499,30176,0.35
1553,2017-01-30,30.407499,30176,0.35
1554,2017-01-31,30.3375,30176,0.35
1555,2017-02-01,32.1875,30176,0.35
1556,2017-02-02,32.1325,30176,0.35
1557,2017-02-03,32.27,30176,0.35
1558,2017-02-06,32.572498,30176,0.35
1559,2017-02-07,32.8825,30176,0.35
1560,2017-02-08,33.009998,30176,0.35
1561,2017-02-09,33.105,30176,0.35
