Date,Close,Gross_Profit,ROE,ROI,PE_ratio,PS_ratio
9/25/15,28.6775,19681,0.41,,13.14,2.99
9/28/15,28.110001,19681,0.41,,13.14,2.99
9/29/15,27.264999,19681,0.41,,13.14,2.99
9/30/15,27.575001,20548,0.43,,10.89,2.5
10/1/15,27.395,20548,0.43,,10.89,2.5
10/2/15,27.594999,20548,0.43,,10.89,2.5
10/5/15,27.695,20548,0.43,,10.89,2.5
10/6/15,27.827499,20548,0.43,,10.89,2.5
10/7/15,27.695,20548,0.43,,10.89,2.5
10/8/15,27.375,20548,0.43,,10.89,2.5
10/9/15,28.030001,20548,0.43,,10.89,2.5
10/12/15,27.9,20548,0.43,,10.89,2.5
10/13/15,27.9475,20548,0.43,,10.89,2.5
10/14/15,27.5525,20548,0.43,,10.89,2.5
10/15/15,27.965,20548,0.43,,10.89,2.5
10/16/15,27.76,20548,0.43,,10.89,2.5
10/19/15,27.932501,20548,0.43,,10.89,2.5
10/20/15,28.442499,20548,0.43,,10.89,2.5
10/21/15,28.440001,20548,0.43,,10.89,2.5
10/22/15,28.875,20548,0.43,,10.89,2.5
10/23/15,29.77,20548,0.43,,10.89,2.5
10/26/15,28.82,20548,0.43,,10.89,2.5
10/27/15,28.637501,20548,0.43,,10.89,2.5
10/28/15,29.817499,20548,0.43,,10.89,2.5
10/29/15,30.1325,20548,0.43,,10.89,2.5
10/30/15,29.875,20548,0.43,,10.89,2.5
11/2/15,30.295,20548,0.43,,10.89,2.5
11/3/15,30.6425,20548,0.43,,10.89,2.5
11/4/15,30.5,20548,0.43,,10.89,2.5
11/5/15,30.23,20548,0.43,,10.89,2.5
11/6/15,30.264999,20548,0.43,,10.89,2.5
11/9/15,30.1425,20548,0.43,,10.89,2.5
11/10/15,29.192499,20548,0.43,,10.89,2.5
11/11/15,29.0275,20548,0.43,,10.89,2.5
11/12/15,28.93,20548,0.43,,10.89,2.5
11/13/15,28.084999,20548,0.43,,10.89,2.5
11/16/15,28.545,20548,0.43,,10.89,2.5
11/17/15,28.422501,20548,0.43,,10.89,2.5
