,Date,Close,tnote,tbill,Fed_rate,GDP,GDP_growth,CPI
2617,2021-04-22,131.940002,1.57,0.06,0.07,23046.934,5.67110719,266.727
2618,2021-04-23,134.320007,1.58,0.07,0.07,23046.934,5.67110719,266.727
2619,2021-04-26,134.720001,1.58,0.06,0.07,23046.934,5.67110719,266.727
2620,2021-04-27,134.389999,1.63,0.06,0.07,23046.934,5.67110719,266.727
2621,2021-04-28,133.580002,1.63,0.05,0.07,23046.934,5.67110719,266.727
2622,2021-04-29,133.479996,1.65,0.05,0.06,23046.934,5.67110719,266.727
2623,2021-04-30,131.460007,1.65,0.05,0.05,23046.934,5.67110719,266.727
2624,2021-05-03,132.539993,1.63,0.06,0.06,23046.934,5.67110719,268.599
2625,2021-05-04,127.849998,1.61,0.06,0.06,23046.934,5.67110719,268.599
2626,2021-05-05,128.100006,1.59,0.06,0.06,23046.934,5.67110719,268.599
2627,2021-05-06,129.740005,1.58,0.05,0.06,23046.934,5.67110719,268.599
2628,2021-05-07,130.210007,1.6,0.05,0.06,23046.934,5.67110719,268.599
2629,2021-05-10,126.849998,1.63,0.05,0.06,23046.934,5.67110719,268.599
2630,2021-05-11,125.910004,1.64,0.05,0.06,23046.934,5.67110719,268.599
2631,2021-05-12,122.769997,1.69,0.05,0.06,23046.934,5.67110719,268.599
2632,2021-05-13,124.970001,1.66,0.05,0.06,23046.934,5.67110719,268.599
2633,2021-05-14,127.449997,1.63,0.06,0.06,23046.934,5.67110719,268.599
2634,2021-05-17,126.269997,1.64,0.06,0.06,23046.934,5.67110719,268.599
2635,2021-05-18,124.849998,1.64,0.06,0.06,23046.934,5.67110719,268.599
2636,2021-05-19,124.690002,1.68,0.05,0.06,23046.934,5.67110719,268.599
2637,2021-05-20,127.309998,1.63,0.05,0.06,23046.934,5.67110719,268.599
2638,2021-05-21,125.43,1.63,0.04,0.06,23046.934,5.67110719,268.599
2639,2021-05-24,127.099998,1.61,0.04,0.06,23046.934,5.67110719,268.599
2640,2021-05-25,126.900002,1.56,0.04,0.06,23046.934,5.67110719,268.599
2641,2021-05-26,126.849998,1.58,0.04,0.06,23046.934,5.67110719,268.599
2642,2021-05-27,125.279999,1.61,0.04,0.06,23046.934,5.67110719,268.599
2643,2021-05-28,124.610001,1.58,0.05,0.05,23046.934,5.67110719,268.599
2644,2021-06-01,124.279999,1.62,0.04,0.06,23046.934,5.67110719,270.955
2645,2021-06-02,125.059998,1.59,0.05,0.06,23046.934,5.67110719,270.955
2646,2021-06-03,123.540001,1.63,0.04,0.06,23046.934,5.67110719,270.955
2647,2021-06-04,125.889999,1.56,0.05,0.06,23046.934,5.67110719,270.955
2648,2021-06-07,125.900002,1.57,0.05,0.06,23046.934,5.67110719,270.955
2649,2021-06-08,126.739998,1.53,0.05,0.06,23046.934,5.67110719,270.955
2650,2021-06-09,127.129997,1.5,0.05,0.06,23046.934,5.67110719,270.955
2651,2021-06-10,126.110001,1.45,0.05,0.06,23046.934,5.67110719,270.955
2652,2021-06-11,127.349998,1.47,0.05,0.06,23046.934,5.67110719,270.955
2653,2021-06-14,130.479996,1.51,0.05,0.06,23046.934,5.67110719,270.955
2654,2021-06-15,129.639999,1.51,0.08,0.06,23046.934,5.67110719,270.955
2655,2021-06-16,130.149994,1.57,0.08,0.06,23046.934,5.67110719,270.955
2656,2021-06-17,131.789993,1.52,0.08,0.1,23046.934,5.67110719,270.955
2657,2021-06-18,130.460007,1.45,0.09,0.1,23046.934,5.67110719,270.955
